text;news_link;outlet;topic;type;label_bias;label_opinion;biased_words
In the weeks leading up to the District of Columbia’s primary election, a powerful interest group repeatedly hammered council candidate Janeese Lewis George with an attack that in the past has proved devastating: She was soft on crime and unsupportive of the D.C. police force.;https://www.huffpost.com/entry/janeese-lewis-george-districi-of-columbia-police-reform-city-councils_n_5edaab12c5b6dc3de7b95082;HuffPost;elections-2020;left;Biased;No agreement;['devastating']
In the Spectator, Matt Ridley provides further evidence that the leftist ideologues who infest Britain’s bloated, self-serving, inefficient healthcare bureaucracy are peevishly rejecting numerous offers from the private sector for political reasons;http://feedproxy.google.com/~r/breitbart/~3/M1xgKTs6UKg/;Breitbart;universal health care;right;Biased;Somewhat factual but also opinionated;['bloated', 'leftist', 'inefficient', 'self-serving', 'bureaucracy']
In their articles of impeachment here , Democrats charge that Trump abused his power as president by pressuring the government of Ukraine to help him win re-election. They accuse the president of endangering the U.S. Constitution, jeopardizing national security and undermining the integrity of the 2020 election.;https://www.reuters.com/article/us-usa-trump-impeachment-case-explainer/explainer-why-is-president-donald-trump-on-trial-in-the-senate-idUSKBN1ZK0G0;Reuters;trump-presidency;center;Non-biased;Entirely factual;[]
In their blatant, arrogant insouciance, Barr’s actions have a much deeper and alarming significance than the simple emergence of Barr as  a corrupt Trump toady at the head of DOJ.;https://www.alternet.org/2020/09/how-barrs-justice-department-weaponized-the-rule-of-law-to-trumps-political-opponents/;Alternet;black lives matter;left;Biased;Expresses writer’s opinion;['blatant', 'arrogant', 'insouciance', 'toady']
In their place, Trump credits himself for early and stronger travel bans, even if the evidence now is about home-grown coronavirus spread.;https://www.alternet.org/2020/03/trump-white-house-unleashes-a-dangerous-virus-of-misinformation/;Alternet;vaccine;;Biased;Expresses writer’s opinion;['credits', 'himself']
In these times of left-wing mobs filling the streets, assaulting civilians and police officers, destroying property with apparent impunity, flagrantly defying coronavirus social distancing rules, and even seceding from the Union, one of the few consolations for conservatives is the notion that gun rights appear to be safe for a generation to come. ;http://feedproxy.google.com/~r/breitbart/~3/MBTkPPu9uSo/;Breitbart;gun control;right;Biased;Somewhat factual but also opinionated;['mobs', 'flagrantly', 'impunity', 'left-wing', 'apparent']
In today’s America, someone with this much money can buy so much advertising and self-promotion that he automatically becomes a Serious Presidential Candidate just by virtue of wanting the job and having the capacity to self-finance a campaign.;https://www.alternet.org/2019/02/billionaire-howard-schultz-is-no-patriot-robert-reich/;Alternet;middle-class;left;Non-biased;Expresses writer’s opinion;[]
In total, the American economy has lost trillions of dollars because of Donald Trump's willful, malicious, corrupt and likely intentional negligence in responding to the coronavirus pandemic.;https://feeds.feedblitz.com/~/622896896/0/alternet_all~How-do-we-escape-the-%e2%80%98death-economy%e2%80%99/;Alternet;taxes;left;Biased;Expresses writer’s opinion;['willful', 'malicious', 'corrupt']
"In truth, these examples are caricatures of Epicureanism. Epicureanism is not hedonism; rather, it abhors lack of restraint and shameless debauchery. After all, these things bring more pain than pleasure.";https://thefederalist.com/2020/06/01/coronavirus-friendship-collapse-shows-why-we-need-christian-epicureanism/;Federalist;coronavirus;right;Biased;Expresses writer’s opinion;['abhors', 'shameless', 'debauchery']
In Tuesday night's debate, the two progressive senators de-escalated a tense round of tit-for-tat exchanges between their presidential campaigns over the charged issues of gender and electability.;https://www.nbcnews.com/politics/2020-election/warren-sanders-de-escalate-campaign-feud-over-contested-remark-n1115881?cid=public-rss_20200115;MSNBC;gender;left;Biased;Entirely factual;['tense', 'tit-for-tat']
In Washington, three key issues seemed to galvanize most of the protesters: climate change, immigration and reproductive rights.;https://www.nbcnews.com/news/us-news/women-s-march-draws-thousands-rallies-across-county-n1118416?cid=public-rss_20200119;MSNBC;environment;left;Biased;Somewhat factual but also opinionated;['galvanize']
"In what could be construed as an act of treason, President Trump recently ordered such paramilitary groups and right-wing thugs to take up arms and to threaten Democratic-led state governments such as Michigan's in order to force them to ""reopen"" their state.";https://www.alternet.org/2020/05/we-are-seeing-a-wave-of-very-young-nazis-alt-right-expert-explains-why-this-year-will-be-a-key-turning-point-on-the-path-from-democracy-to-fascism/;Alternet;gun control;left;Biased;Somewhat factual but also opinionated;['treason', 'thugs']
In Wuhan’s Qiaokou district, at the Zirun Mingyuan apartment community where about 10,000 people live, men, women and children stood under umbrellas while elderly residents perched on stools as they waited to get tested at four sites set up in the middle of the compound.;;Reuters;coronavirus;center;Non-biased;Entirely factual;[]
"In a press conference on Wednesday, Trump tried to justify all this by claiming we're witnessing ""a shocking explosion of shootings, killings, murders and heinous crimes of violence.""";https://www.alternet.org/2020/07/trumps-war-on-cities-is-one-giant-photo-op-created-for-fox-news-and-campaign-ads/;Alternet;black lives matter;left;Non-biased;Somewhat factual but also opinionated;['claiming']
In Heller, the Supreme Court struck down a ban on handgun possession in the nation’s capital, ruling for the first time that the Second Amendment protects an individual right to gun ownership.;https://www.alternet.org/2020/04/the-supreme-court-is-poised-to-extend-gun-rights-at-the-worst-possible-time/;Alternet;gun control;left;Non-biased;Entirely factual;[]
In Saudi Arabia, the government expanded its decision last week to ban foreigners from making the pilgrimage to Mecca and Medina – home of the holiest sites in Islam.;https://www.foxnews.com/world/coronavirus-halt-muslim-pilgrimage-to-mecca-friday-prayers-in-iran-as-countries-take-drastic-measures;Fox News;islam;;Non-biased;Entirely factual;[]
Indeed, as an aside, one wonders what Obama’s vice president, Joe Biden, thinks of all this: Has he learned the lesson of Iraq and other quagmires?  Has he rethought trade with China? Those are certainly good questions to be answered during the remainder of the 2020 campaign season.  ;http://feedproxy.google.com/~r/breitbart/~3/6YKD4JYfGD4/;Breitbart;taxes;right;Non-biased;Expresses writer’s opinion;['quagmires']
Indeed, Black Lives Matter and its attendant ideology contain all the elements of a religion: it promulgates doctrines that are explicitly normative, it has a cosmology and a morality, its claims are not subject to or consistent with scientific proofs.;https://thefederalist.com/2020/06/26/were-in-a-cultural-civil-war-its-time-for-conservatives-to-fight-back/;Federalist;marriage-equality;;Biased;Expresses writer’s opinion;[]
Indeed, just this week, Donald Trump, who once said the climate crisis was a hoax concocted by the Chinese, marveled at cold temperatures throughout the Midwest, convinced that the frigid weather is evidence of … something.;http://www.msnbc.com/rachel-maddow-show/trumps-national-security-team-rejects-his-climate-stance-too;MSNBC;environment;left;Biased;Expresses writer’s opinion;['hoax', 'concocted']
Indeed, that original NYT report suggested that the management at Trump’s club in New Jersey was well aware of the fact that it employed undocumented immigrants, and it deliberately took steps to obscure the fact that it broke the law – repeatedly, over the course of several years.;http://www.msnbc.com/rachel-maddow-show/trumps-business-purges-many-the-undocumented-immigrants-it-hired?cid=eml_mra_20190205;MSNBC;immigration;left;Biased;Somewhat factual but also opinionated;[]
Indeed, while Trump's 2014 response to Ebola might have led one to believe he would likely overreact to a disease outbreak under his watch, there's every indication that he's underreacting now.;https://www.alternet.org/2020/02/trump-is-already-bungling-the-coronavirus-response-and-it-could-get-much-worse/;Alternet;vaccine;;Biased;Expresses writer’s opinion;['overreacting', 'underreacting']
India’s Prime Minister Narendra Modi is often compared to Donald Trump, especially when it comes to his anti-Muslim policies.;https://www.alternet.org/2020/02/india-builds-a-wall-to-hide-its-poor-people-days-before-trumps-visit/;Alternet;international-politics-and-world-news;left;Biased;Somewhat factual but also opinionated;[]
Indian Prime Minister Narendra Modi’s Hindu nationalist party was given a stunning defeat by a regional party Tuesday in elections in the national capital that were seen as a referendum on his policies, including a new national citizenship law that excludes Muslims.;https://www.foxnews.com/world/india-regional-elections-in-new-dehli-give-pm-modis-party-a-stunning-defeat;Fox News;islam;;Non-biased;Entirely factual;[]
Ingraham began the exchange by noting American graduates’ salaries have been suppressed by the flood of foreign graduates.;https://www.breitbart.com/economy/2020/01/12/donald-trump-we-dont-have-enough-foreign-workers/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29;Breitbart;immigration;right;Biased;No agreement;['flood', 'suppressed']
Inhibiting travel and commerce—not to mention making consular interviews deeply intrusive on a gendered basis—by imposing restrictions on pregnant women is an alarmist reaction to a small issue.;https://www.alternet.org/2020/03/how-the-birth-tourist-became-trumps-latest-bogeyman/;Alternet;immigration;left;Biased;Expresses writer’s opinion;['intrusive', 'alarmist']
Inside Trump’s brazen plot to gut Social Security;https://feeds.feedblitz.com/~/623767634/0/alternet_all~Inside-Trump%e2%80%99s-brazen-plot-to-gut-Social-Security/;Alternet;taxes;left;Non-biased;Expresses writer’s opinion;['brazen']
Instagram and TikTok influencer Haneen Hossam, 20, is under 15 days detention for a post encouraging women to broadcast videos in exchange for money, while dancer Sama el-Masry faces 15 days detention for posting “indecent” photos and videos.;https://www.reuters.com/article/us-egypt-women-socialmedia-trfn-idUSKCN22A2ZY;Reuters;#metoo;center;Non-biased;Entirely factual;[]
Instagram will start blocking any hashtags spreading misinformation about vaccines, becoming the latest internet platform to crack down on bad health information.;https://eu.usatoday.com/story/tech/news/2019/05/09/instagram-hashtags-vaccine-misinformation-soon-get-blocked/1154046001/;USA Today;vaccines;center;Non-biased;Entirely factual;[]
Instead of challenging the smears that America is a racist country, instead of standing up for police officers and the rule of law, even the Republican Party is taking a knee, is looking to appease, is acting as Black Lives Matter-lite with their stupid and completely unnecessary police reform ideas.;http://feedproxy.google.com/~r/breitbart/~3/f1fSQQjH1NE/;Breitbart;gun control;right;Biased;Expresses writer’s opinion;['stupid', 'smears', 'completely', 'unnecessary']
Instead of giving way to despair, Christians should master themselves, strive for virtue, and suffer with dignity. The virus and shutdowns, grave as they are, will pass, but everyone can learn from them and be more than members of the passive herd beholden to external forces.;https://thefederalist.com/2020/06/01/coronavirus-friendship-collapse-shows-why-we-need-christian-epicureanism/;Federalist;coronavirus;right;Non-biased;Expresses writer’s opinion;[]
Instead of motivating kids to payback their loans, Clinton’s plan might actually lead to the decline in liberal arts enrollment.;https://thefederalist.com/2015/08/17/mark-cuban-hillarys-college-plan-wont-reduce-student-debt/;Federalist;student-debt;right;Biased;Somewhat factual but also opinionated;[]
Instead of that, we’re in this amazing moment where the media is claiming that everyone wants schools reopened, of course, but but but reasons – so they push out polls like this.;https://thefederalist.com/2020/07/14/how-would-the-media-cover-school-reopening-if-hillary-clinton-were-president/;Federalist;vaccine;;Biased;Expresses writer’s opinion;['claiming', 'but']
Instead today, we see an alliance between corporate media and corporate tech titans to squelch debate, silence conservatives, and literally censor regular Americans, dissenting scientists, newspaper competitors, and even the president of the United States.;https://thefederalist.com/2020/12/17/this-series-of-fact-checks-on-americas-mission-to-defeat-covid-expose-media-hatred/;Federalist;vaccine;;Biased;Expresses writer’s opinion;['squelch']
Instead, the forgetful and frail former VP will be used as a vehicle for the left’s cultural revolution, especially since Biden’s vice presidential pick Kamala Harris has proven to be a solid member of the far left.;https://thefederalist.com/2020/12/22/joe-biden-three-days-before-christmas-our-darkest-days-are-ahead/;Federalist;vaccine;;Biased;Expresses writer’s opinion;['forgetful', 'frail', 'far', 'left']
Instead, they want to force women and their doctors to subject dying newborns to further horrific medical intervention, to needles and lights and loud voices and scalpels and machines that will only prolong the inevitable, only prolong their pain.;https://feeds.feedblitz.com/~/601350538/0/alternet_all~Trump%e2%80%99s-new-big-lie-Women-and-doctors-are-plotting-to-execute-newborn-babies/;Alternet;abortion;left;Biased;Expresses writer’s opinion;['horrific']
Interestingly, in addition to his leftward missions of social engineering, Bloomberg has taken on a rightward mission of economic self-interest for himself and his fat-cat friends: stopping a wealth tax.;http://feedproxy.google.com/~r/breitbart/~3/h_wTCa6-K54/;Breitbart;taxes;right;Biased;Expresses writer’s opinion;['fat-cat']
Investigators also found evidence to suggest that Koinis did not vaccinate children at parents' requests, the sheriff's office said in a statement.;https://eu.usatoday.com/story/news/nation/2020/02/14/illinois-doctor-van-koinis-may-have-faked-vaccination-records-sheriff/4759104002/;USA Today;vaccines;center;Non-biased;Entirely factual;[]
Investigators believe parents would use falsified records so their children could attend schools that would otherwise require all students to be vaccinated, Dart told WBBM-TV.;https://eu.usatoday.com/story/news/nation/2020/02/14/illinois-doctor-van-koinis-may-have-faked-vaccination-records-sheriff/4759104002/;USA Today;vaccines;center;Non-biased;Entirely factual;[]
Investors were also pleased after President Donald Trump said on Monday he was considering how to restart parts of business life when a 15-day shutdown ends next week, even as the highly contagious virus spreads rapidly and poorly equipped hospitals struggle with a wave of deadly cases.;https://www.reuters.com/article/us-usa-stocks/wall-street-surges-on-expectation-of-2-trillion-rescue-package-idUSKBN21B187?feedType=RSS&feedName=topNews;Reuters;vaccine;;Non-biased;Somewhat factual but also opinionated;[]
Iowa farmers are bearing the brunt of the U.S. trade war with China as Donald Trump continues to threaten increased tariffs on Chinese imports.;https://www.alternet.org/2019/05/it-could-break-a-lot-of-people-iowa-farmers-face-the-brunt-of-trumps-ugly-trade-war-with-china/;Alternet;international-politics-and-world-news;left;Non-biased;Entirely factual;[]
Iran – which has been under fire this week after videos of men kissing and licking holy shrines in Qom went viral this week – has decided to cancel all Friday prayers in major cities.;https://www.foxnews.com/world/coronavirus-halt-muslim-pilgrimage-to-mecca-friday-prayers-in-iran-as-countries-take-drastic-measures;Fox News;islam;;Non-biased;Entirely factual;[]
Iranian Supreme Leader Ayatollah Ali Khamenei ordered Iran’s military on Friday to expand its role in fighting the Chinese coronavirus outbreak in the country “due to the increased likelihood of the coronavirus being a biological attack.”;https://www.breitbart.com/health/2020/03/13/ayatollah-khamenei-there-is-evidence-chinese-coronavirus-is-a-biological-attack/;Breitbart;vaccine;;Biased;Somewhat factual but also opinionated;['Chinese', 'coronavirus']
irearms kill almost 1,300 American youngsters each year, and boys and black children are most often the victims, a U.S. study finds.;https://www.reuters.com/article/us-health-children-gun-casualties/nearly-1300-u-s-kids-die-from-gunshot-wounds-each-year-idUSKBN19A2HF;Reuters;gun control;center;Non-biased;Entirely factual;[]
Ironically, bans on “high-capacity” magazines are part of the Bloomberg campaign’s gun control push, yet a Virginia Tech review board found that such a ban would have had a negligible impact on the results of the 2007 attack.;https://www.breitbart.com/politics/2020/02/01/hawkins-bloomberg-uses-gun-control-failure-to-push-more-gun-control/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29;Breitbart;gun-control;right;Biased;Somewhat factual but also opinionated;['ironically']
Is Islam a destructive force in the world?;https://www.foxnews.com/transcript/bill-oreilly-is-islam-a-destructive-force-in-the-world;Fox News;islam;;Biased;Expresses writer’s opinion;['destructive']
Israel has a vested interest in escalation, not de-escalation, with Iran.;https://www.alternet.org/2019/08/how-secret-israeli-attacks-in-iraq-are-driving-trumps-anti-iran-campaign/;Alternet;international-politics-and-world-news;left;Biased;Somewhat factual but also opinionated;[]
Issuing a defiant call to arms to grassroots Republicans, former White House chief strategist Steve Bannon railed Friday against dangerous “global elites” and the Silicon Valley “lords of technology” whom he said are robbing U.S. citizens of jobs, wealth and opportunity.;https://www.politico.com/story/2017/10/21/steve-bannon-california-gop-george-bush-silicon-valley-244015;Breitbart;trump-presidency;right;Biased;Somewhat factual but also opinionated;['robbing']
It amazes me that even intelligent people – including one or two politicians and commentators on the right who really should know better – are taking these disgusting Black Lives Matter/Antifa protests at face value.;http://feedproxy.google.com/~r/breitbart/~3/2RH0NVHEl6Q/;Breitbart;marriage-equality;;Biased;Expresses writer’s opinion;['disgusting']
It can take hard work, creativity, perseverance and luck to become a millionaire, but in today’s skewed wealth system, multibillionaires don’t need any of that — their money does all the work to lift them above everyone else.;https://www.alternet.org/2020/01/here-are-the-dirty-secrets-of-how-the-rich-become-the-uber-rich/;Alternet;middle-class;left;Non-biased;Expresses writer’s opinion;[]
It has been going on for years, just like the Marxist Antonio Gramsci wanted when he called for a “Long March Through the Institutions”: little by little Hollywood, TV land, publishing, the media industry, music, sport — every branch of the entertainment industry, every aspect of popular culture has been suborned by left-wing activists who have infiltrated the system and corrupted it for their own political ends.;http://feedproxy.google.com/~r/breitbart/~3/CypkN9fJOFg/;Breitbart;marriage-equality;;Biased;Expresses writer’s opinion;['Marxist', 'suborned', 'infiltrated', 'corrupted']
It is a monumental ode to human stupidity that the wealthiest nation in the world teeters on the edge of a dangerous measles epidemic at the same time that poor nations are struggling to vaccinate their residents. ;https://www.alternet.org/2019/04/anti-vaxxers-are-just-as-bad-as-climate-deniers/;Alternet;vaccines;left;Biased;Expresses writer’s opinion;['monumental', 'stupidity', 'ode', 'to', 'human']
It is also partly the result of anti-Trump hysteria, which has created an alternate reality for much of urban America, particularly its elites.;http://feedproxy.google.com/~r/breitbart/~3/dTkV_nLSbGg/;Breitbart;gun control;right;Biased;Somewhat factual but also opinionated;['hysteria']
It is also worth noting that the “white nationalist” in question, Patrick Casey, does not claim to be a white nationalist but an identitarian activist, a group the far-left media regularly attack as racist.;https://www.breitbart.com/the-media/2018/11/08/daily-beast-spreads-fake-news-white-nationalist-guest-white-house/;Breitbart;white-nationalism;right;Biased;Somewhat factual but also opinionated;[]
It is far from the first time that Trump has offered to intervene in a seemingly intractable international dispute.;https://www.breitbart.com/news/trump-offers-to-mediate-kashmir-conflict-between-india-and-pakistan/;Breitbart;international-politics-and-world-news;right;Biased;Somewhat factual but also opinionated;[]
It is hard to argue that the highest income countries should not reduce their meat and dairy.;https://www.alternet.org/2019/01/nutritional-biochemist-examines-the-health-byproducts-associated-with-eating-sustainably/;Alternet;environment;left;Non-biased;Expresses writer’s opinion;[]
It is no secret that women are underrepresented in science, technology, engineering, and mathematics (STEM) careers. ;https://www.alternet.org/2019/04/how-the-first-image-of-a-black-hole-turned-into-a-lesson-on-sexism-in-stem/;Alternet;gender;left;Non-biased;Entirely factual;[]
It is no wonder why Republicans insisted on ramming through incredibly unpopular tax cuts for American corporations that were already making near-record profits, even at the risk of losing control of the House of Representatives. ;https://www.alternet.org/2020/01/follow-the-money-gop-senators-are-making-millions-off-trumps-tax-cuts-and-will-repay-him-by-betraying-their-oath/;Alternet;middle-class;left;Biased;Somewhat factual but also opinionated;['incredibly', 'ramming']
It is not only cops who are often able to live outside the law. It is also the wealthy and well-connected sociopaths who poison the environment, exploit the poor and manipulate unprincipled political officials.;https://www.alternet.org/2020/06/law-and-order-is-a-debased-concept-used-to-cover-up-right-wing-crime-and-depravity-heres-why/;Alternet;black lives matter;left;Biased;Expresses writer’s opinion;['sociopaths']
It is therefore no surprise that Ocasio-Cortez has embraced the term “Democratic socialism.”;https://www.foxnews.com/politics/most-democrats-identify-as-liberals-for-first-time-underscoring-leftward-tilt-of-party?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A%20foxnews%2Fpolitics%20%28Internal%20-%20Politics%20-%20Text%29;Fox News;middle-class;right;Non-biased;Expresses writer’s opinion;[]
It is unsurprising for biological males to destroy female records since men are physiologically stronger than woman, having more muscle mass and a higher bone density.;https://thefederalist.com/2019/06/18/female-runner-files-complaint-after-losing-placement-to-biological-males/#disqus_thread;Federalist;gender;right;Non-biased;Somewhat factual but also opinionated;[]
It is worth noting that in eight of the top ten countries where Christian persecution is highest, Islamist ideology is the prime driver of the hostility.;https://www.breitbart.com/politics/2020/01/16/watch-list-260-million-christians-experience-high-levels-of-persecution/;Breitbart;islam;;Biased;No agreement;['worth', 'noting']
It marked the second incident in as many days of a vehicle driving at people protesting Floyd’s death after a New York City Police car was captured on video on Saturday driving into a crowd of protesters who were pelting it with objects.;https://www.reuters.com/article/uk-minneapolis-police-protests-truck-idUKKBN2370VO?taid=5ed4ccf1842569000110c1cc&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter;Reuters;black lives matter;center;Biased;Entirely factual;[]
It matters that figures like Marsha Blackburn are trying to smear a decorated American war hero. It also matters why she's engaged in such a toxic scheme.;https://www.msnbc.com/rachel-maddow-show/why-republicans-are-taking-aim-war-hero-defend-trump-n1123626;MSNBC;white-nationalism;left;Biased;Expresses writer’s opinion;['toxic', 'scheme', 'smear']
It may have taken Trump to point out the pitfalls of the Chimerica link, but coming up with a coherent strategy to replace it is clearly beyond the president’s abilities.;https://www.alternet.org/2019/09/trump-is-incapable-of-fixing-relations-with-china-and-his-trade-war-is-likely-to-grow-more-destructive/;Alternet;international-politics-and-world-news;left;Biased;Expresses writer’s opinion;['abilities', 'beyond']
It obviously works extremely well for Democrats, a large faction and the leadership of which appears to be as impervious to facts as anti-vaxxers and QAnon followers.;https://thefederalist.com/2019/12/11/impeachment-is-just-another-word-for-delusional-democrats-holding-the-nation-hostage/;Federalist;vaccines;right;Biased;Expresses writer’s opinion;['anti-vaxxers', 'impervious']
It probably has something to do with Pitlyk being a Federalist Society member, a former Brett Kavanaugh clerk, and a fierce opponent of reproductive rights who’s argued that fertility treatments and surrogacy have “grave” adverse effects on society.;http://www.msnbc.com/rachel-maddow-show/gop-confirms-fierce-opponent-reproductive-rights-federal-bench;MSNBC;abortion;left;Non-biased;Somewhat factual but also opinionated;[]
It remains to be seen how players — whose wages span a wide spectrum in a league with no salary cap — will respond to the request following calls from government ministers to cut their often-astronomical wages.;https://www.nbcnews.com/news/world/coronavirus-pressure-grows-u-k-soccer-stars-cut-pay-crisis-n1175851?cid=public-rss_20200403;MSNBC;sport;left;Biased;Somewhat factual but also opinionated;['often-astronomical', 'astronomical']
It reminds us that a once-great university has fallen to the forces of wokist ignorance and that you’d really be better off trying to study for your degree elsewhere.;http://feedproxy.google.com/~r/breitbart/~3/REGTIx7llJw/;Breitbart;marriage-equality;;Biased;Expresses writer’s opinion;['wokist', 'ignorance']
It seems like Democratic dogma that anytime the Constitution or the founding is mentioned there must be a caveat attached, as if there is some huge group of people who think slavery and not letting women vote was just fine.;https://thefederalist.com/2020/08/20/democratic-convention-day-3-revenge-of-the-obama/;Federalist;vaccine;;Biased;Expresses writer’s opinion;['dogma']
It seems that there is only one thing The New York Times is more afraid of than the Coronavirus, and that of course is a victory by Donald Trump in November.;https://thefederalist.com/2020/08/03/the-new-york-times-is-scaremongering-on-the-covid-vaccine/;Federalist;vaccine;;Biased;Expresses writer’s opinion;[]
It should be clear by now that no matter how bad the violence gets, López Obrador is not going to do anything about the cartels.;https://thefederalist.com/2019/11/06/its-time-for-the-united-states-to-wage-war-on-mexican-drug-cartels/?utm_source=deployer&utm_medium=email&utm_campaign=newslink&utm_term=members&utm_content=20191231151341;Federalist;gun-control;right;Non-biased;Expresses writer’s opinion;[]
It took less than 24 hours for left-wingers to pledge burning down the country if Republicans don't abdicate their duty to fill a Supreme Court vacancy;https://thefederalist.com/2020/09/22/democrats-ramp-up-their-war-on-americas-institutions-promising-riots-if-trump-nominates-a-justice/;Federalist;vaccine;;Biased;Somewhat factual but also opinionated;['left-wingers', 'burning', 'down', 'the', 'country', 'duty']
It took President Donald Trump only 11 days in office to decide that Colorado's Neil Gorsuch deserved a lifetime appointment to the Supreme Court.;http://rssfeeds.usatoday.com/~/627605154/0/usatoday-newstopstories~Ruling-on-LGBTQ-rights-once-again-reveals-precarious-nature-of-Supreme-Courts-conservative-majority/;USA Today;islam;;Non-biased;Entirely factual;[]
It was at this point that Trump thought it’d be a good idea to start bragging.;http://www.msnbc.com/rachel-maddow-show/why-trumps-response-the-latest-mass-shootings-came-short?cid=sm_npd_ms_tw_ma;MSNBC;gun-control;left;Biased;Expresses writer’s opinion;['bragging', 'good', 'idea']
It was language distinctly reminiscent of white mobs bitter about the failure of local law enforcement to execute Blacks accused of crimes.;https://www.alternet.org/2020/09/trump-and-the-threat-of-an-unrestrained-mob/?xrs=RebelMouse_fb&ts=1601414966;Alternet;gun control;left;Biased;Somewhat factual but also opinionated;['mobs']
It was not just Wallace's interruptions or poor management that cemented his role as worst debate moderator of all time, but the off-topic and ridiculous framing of his questions.;https://thefederalist.com/2020/09/30/here-are-the-11-dumbest-most-slanted-questions-asked-by-chris-wallace/;Federalist;vaccine;;Biased;Expresses writer’s opinion;['worst', 'of', 'all', 'time', 'ridiculous', 'poor', 'framing']
"It was not Republican governors ignoring expert advice to ""reopen"" states in time for Memorial Day, nor Trump's constant blasting of lockdown orders, nor Trump's partisan contempt for mask usage, nor the party's anti-science ravings about the basics of pandemic spread.";https://feeds.feedblitz.com/~/629109976/0/alternet_all~Trump-officials-take-to-Sunday-shows-to-dodge-and-deflect-pandemic-responsibility/;Alternet;universal health care;left;Biased;Expresses writer’s opinion;['blasting']
It was not stingy family leave policies that had this baby killed, it was the child’s mother, encouraged and enabled by a culture and legal regime that regard babies as a capstone consumer commodity to be ordered up when convenient, and violently disposed of when inconvenient.;https://thefederalist.com/2020/03/11/woman-who-killed-baby-over-maternity-leave-proves-welfare-wont-fix-abortion/?fbclid=IwAR2SBE3O9KtpsqJvMCIeSlk4Zeqn3oexJevVoXUhDpKszW_VHrTEMBiewaw;Federalist;abortion;right;Biased;Expresses writer’s opinion;['stingy', 'capstone', 'violently']
It wasn’t President Donald Trump’s escalating demands that the U.S. central bank lower interest rates, or Kaplan’s view of the U.S. economy that attendees at the lunch in Corpus Christi wanted most to know about. ;https://www.reuters.com/article/us-usa-fed-environment/u-s-fed-charts-its-own-course-on-climate-change-too-idUSKBN1WH0ZS?feedType=RSS&feedName=topNews;Reuters;taxes;center;Non-biased;Somewhat factual but also opinionated;['escalating']
It wasn't long after Donald Trump and his team took office that they looked for ways to make things easier for polluters.;https://www.msnbc.com/rachel-maddow-show/even-trump-s-handpicked-scientists-balk-his-approach-science-n1114521;MSNBC;environment;left;Biased;Expresses writer’s opinion;['polluters']
It will be a media and corporate blitzkrieg. The same machinery currently pushing Black Lives Matter ideology will be easily repurposed for the gun control blitz. ;http://feedproxy.google.com/~r/breitbart/~3/MBTkPPu9uSo/;Breitbart;gun control;right;Biased;Expresses writer’s opinion;['blitzkrieg', 'gun', 'control', 'blitz']
It would indeed be out of character for the Trump administration to take any firm stand against criminalizing homosexuality, since Trump — despite his campaign promises that he would live and let live — has been one of the most LGBTQ-hostile presidents in modern politics.;https://www.alternet.org/2019/02/watch-trump-is-completely-baffled-when-asked-about-his-own-policy-to-fight-anti-homosexuality-laws/;Alternet;gender;left;Biased;Expresses writer’s opinion;['despite', 'hostile']
It would take a year to 18 months to fully validate any potential vaccine, the AP added, citing public health officials.;https://www.reuters.com/article/us-health-coronavirus-usa-vaccine/u-s-clinical-trial-for-coronavirus-vaccine-to-begin-monday-ap-idUSKBN213003;Reuters;vaccine;;Non-biased;Entirely factual;[]
It seems as if things may be coming to a head as we launch into what I fervently hope will be the last year of this bizarre and disturbing political ordeal.;https://www.alternet.org/2020/01/australias-climate-carnage-is-an-urgent-warning-to-america-and-the-world/;Alternet;black lives matter;left;Biased;Somewhat factual but also opinionated;['bizarre', 'disturbing', 'ordeal']
It’s a mafia state. There’s no control. There’s no regulation. The system is full of legalized bribery. The electoral process is corrupt as well. The courts are stacked with right-wing ideologues.;https://www.alternet.org/2020/07/gangster-capitalist-trump-is-running-a-mafia-state-and-things-are-about-to-get-worse-pulitzer-prize-winning-journalist/;Alternet;black lives matter;left;Biased;Expresses writer’s opinion;['mafia', 'state']
It’s a new decade and women now hold more jobs than men but they also still hold onto the majority of household duties.;https://eu.usatoday.com/story/news/nation/2020/02/14/gender-equality-millennial-men-still-dont-do-laundry-house-cleaning/4748860002/;USA Today;gender;center;Non-biased;Somewhat factual but also opinionated;[]
It’s a strange fact of our moment that President Trump has claimed to have “plans” (or “a method”) for annihilating millions of innocent people, possibly most of the population of Afghanistan.;https://www.alternet.org/2020/01/a-beleaguered-trump-continues-to-mull-over-just-how-to-end-americas-endless-wars-while-seemingly-expanding-them-further/;Alternet;islam;;Biased;Expresses writer’s opinion;"['strange', 'claimed', 'annihilating', '""plans""', '""a', 'method""']"
